Title,Description,Url,Started On,Finished On
Campus création ,,,Oct 2019,
Portage de projet ,,,Oct 2019,Jun 2020
Bénévolats,Participation à la logistique d'événements,,Jul 2019,
Développement d’IA pour la science ,"Mise en place d’un système multi-agents (SMA) : KIN, pour le secteur de la recherche, pouvant rédiger des documents scientifiques et effectuer une lecture critique d’article.   Objectifs : - Améliorer le processus de recherche scientifique en introduisant l'efficacité et la précision de l'IA. - Démocratiser l'accès à la recherche de haute qualité, permettant aux scientifiques de se concentrer sur l'innovation et la créativité. - Encourager une collaboration plus étroite entre les chercheurs et l'IA, ouvrant la voie à des découvertes inédites.   ",,Dec 2023,
