Name,Description,Position,Started On,Finished On
2019 - Fête de la science ,"Fête de la science, présentation devant le grand publique. Evénement rassemblant 2584 personnes.   Compétences :  - Vulgarisation scientifique, adaptation du discours en fonction de l'assistance","Animatrice ""Du microbe à l'Homme""",Oct 2019,
Graines électroniques ,Bénévole lors des événements de cette association tournée vers l’écologie et la musique ,Bénévole,Sep 2019,
