Name,Published On,Description,Publisher,Url
Detection of the hepatitis B virus (HBV) covalently-closed-circular DNA (cccDNA) in mice transduced with a recombinant AAV-HBV vector.,Sep 2017,,Antiviral Research,https://www.sciencedirect.com/science/article/pii/S0166354217304072?via%3Dihub
De la détection de l'ADNccc par de nouvelles technologies à la preuve de concept de sa dégradation à visée thérapeutique dans des modèles d'infection par le virus de l'hépatite B,Oct 2018,,,https://tel.archives-ouvertes.fr/tel-02021137/document
Quantification and epigenetic evaluation of the residual pool of hepatitis B covalently closed circular DNA in long-term nucleoside analogue-treated patients.,"Dec 3, 2020",,Scientific reports ,https://pubmed.ncbi.nlm.nih.gov/33273565/
CRISPR-Cas9 Targeting of Hepatitis B Virus Covalently Closed Circular DNA Generates Transcriptionally Active Episomal Variants,"Apr 7, 2022",,mBio,https://pubmed.ncbi.nlm.nih.gov/35389262/
